1	1
2	2
3	3
4	4
5	5
6	3
7	6
8	7
9	8
10	9
11	10
12	11
13	12
14	1
15	11
16	4
17	13
18	5
19	5
20	14
21	7
22	15
23	4
24	16
25	17
26	5
27	18
28	19
29	20
30	21
31	22
32	12
33	2
34	23
35	20
36	24
37	25
38	9
39	7
40	20
41	12
42	26
43	23
44	25
45	7
46	24
47	3
48	27
49	3
50	20
51	5
52	2
53	11
54	5
55	4
56	28
57	3
58	29
59	15
60	28
61	3
62	30
63	20
64	26
65	7
66	9
67	16
68	7
69	12
70	20
71	5
72	15
73	1
74	22
75	12
76	27
77	17
78	7
79	19
80	24
81	31
82	9
83	5
84	18
85	25
86	5
87	5
88	14
89	22
90	5
91	4
92	7
93	32
94	5
95	13
96	5
97	24
98	33
99	22
100	27
101	27
102	1
103	15
104	16
105	6
106	33
107	8
108	20
109	33
110	31
111	12
112	12
113	27
114	4
115	14
116	16
117	28
118	2
119	13
120	20
121	5
122	7
123	32
124	21
125	33
126	7
127	33
128	14
129	26
130	1
131	17
132	31
133	7
134	11
135	28
136	13
137	15
138	33
139	5
140	20
141	16
142	10
143	26
144	10
145	6
146	24
147	21
148	7
149	33
150	11
151	32
152	19
153	28
154	20
155	1
156	5
157	24
158	10
159	25
160	18
161	24
162	3
163	24
164	12
165	19
166	24
167	1
168	29
169	12
170	23
171	9
172	16
173	5
174	13
175	26
176	7
177	23
178	5
179	1
180	1
181	16
182	3
183	5
184	23
185	29
186	24
187	1
188	27
189	29
190	29
191	5
192	23
193	5
194	22
195	3
196	5
197	5
198	27
199	16
200	25
201	12
202	23
203	1
204	17
205	6
206	24
207	10
208	34
209	15
210	26
211	5
212	24
213	24
214	7
215	17
216	35
217	29
218	15
219	13
220	6
221	24
222	23
223	17
224	23
225	15
226	3
227	17
228	33
229	33
230	28
231	25
232	15
233	29
234	36
235	12
236	24
237	34
238	23
239	29
240	16
241	17
242	12
243	13
244	8
245	15
246	12
247	1
248	31
249	5
250	31
251	12
252	8
253	15
254	5
255	4
256	23
257	14
258	13
259	5
260	16
261	2
262	8
263	15
264	1
265	8
266	10
267	30
268	36
269	24
270	23
271	32
272	22
273	28
274	8
275	15
276	1
277	5
278	23
279	8
280	5
281	8
282	34
283	26
284	5
285	7
286	5
287	13
288	29
289	20
290	7
291	8
292	12
293	15
294	16
295	13
296	12
297	24
298	25
299	35
300	24
301	5
302	26
303	29
304	8
305	22
306	5
307	8
308	16
309	8
310	31
311	10
312	8
313	27
314	13
315	27
316	26
317	33
318	20
319	15
320	6
321	20
322	15
323	32
324	8
325	36
326	32
327	12
328	20
329	5
330	13
331	17
332	20
333	8
334	5
335	10
336	13
337	29
338	36
339	36
340	16
341	14
342	24
343	5
344	17
345	23
346	17
347	35
348	13
349	30
350	8
351	16
352	37
353	6
354	27
355	20
356	22
357	13
358	10
359	8
360	8
361	5
362	14
363	33
364	1
365	29
366	20
367	8
368	8
369	34
370	27
371	36
372	19
373	22
374	28
375	3
376	27
377	23
378	13
379	4
380	20
381	28
382	20
383	8
384	5
385	36
386	5
387	11
388	31
389	3
390	36
391	13
392	24
393	8
394	29
395	32
396	19
397	11
398	5
399	31
400	2
401	1
402	10
403	7
404	18
405	15
406	22
407	7
408	1
409	8
410	5
411	19
412	8
413	23
414	8
415	1
416	22
417	13
418	33
419	31
420	3
421	12
422	36
423	23
424	16
425	1
426	13
427	33
428	20
429	21
430	3
431	2
432	13
433	1
434	27
435	33
436	33
437	12
438	13
439	34
440	27
441	25
442	8
443	29
444	33
445	29
446	27
447	7
448	9
449	29
450	32
451	13
452	15
453	29
454	5
455	36
456	27
457	37
458	15
459	13
460	15
461	23
462	13
463	8
464	10
465	36
466	15
467	13
468	35
469	27
470	26
471	18
472	13
473	1
474	9
475	5
476	24
477	13
478	5
479	36
480	8
481	16
482	8
483	15
484	20
485	18
486	24
487	13
488	16
489	33
490	29
491	7
492	5
493	8
494	16
495	24
496	8
497	22
498	23
499	15
500	24
501	23
502	29
503	8
504	33
505	23
506	13
507	5
508	8
509	8
510	13
511	23
512	33
513	9
514	5
515	15
516	23
517	15
518	32
519	24
520	10
521	13
522	8
523	31
524	2
525	13
526	10
527	15
528	15
529	13
530	8
531	24
532	23
533	28
534	36
535	5
536	36
537	30
538	24
539	12
540	5
541	10
542	5
543	19
544	15
545	15
546	13
547	3
548	20
549	5
550	10
551	14
552	25
553	20
554	37
555	30
556	15
557	8
558	37
559	1
560	3
561	12
562	24
563	2
564	5
565	3
566	33
